Asset,Horizon,Model,CrossDate,FirstViol,LeadDays,VIX_at_cross
treasury,1m,LGB_VIX,2023-02-16,2023-02-13,3,20.2
treasury,1m,LGB_VIX,2023-03-09,2023-02-13,24,22.6
treasury,1m,LGB_VIX,2023-10-19,2023-10-19,0,21.4
treasury,1m,LGB_VIX,2023-10-25,2023-10-19,6,20.2
treasury,1m,LGB_CASSI,2011-06-24,2011-06-28,-4,21.1
treasury,1m,LGB_CASSI,2011-07-14,2011-06-28,16,20.8
treasury,1m,LGB_CASSI,2011-07-18,2011-06-28,20,21.0
treasury,1m,LGB_CASSI,2011-07-26,2011-06-28,28,20.2
treasury,1m,LGB_CASSI,2012-04-10,2012-04-17,-7,20.4
treasury,1m,LGB_CASSI,2012-05-09,2012-04-17,22,20.1
treasury,1m,LGB_CASSI,2012-05-14,2012-04-17,27,21.9
treasury,1m,LGB_CASSI,2014-10-10,2014-09-10,30,21.2
treasury,1m,LGB_CASSI,2014-12-11,2014-12-02,9,20.1
treasury,1m,LGB_CASSI,2015-01-06,2014-12-08,29,21.1
treasury,1m,LGB_CASSI,2015-01-13,2014-12-19,25,20.6
treasury,1m,LGB_CASSI,2015-01-28,2014-12-29,30,20.4
treasury,1m,LGB_CASSI,2015-12-18,2015-12-24,-6,20.7
treasury,1m,LGB_CASSI,2016-01-04,2015-12-24,11,20.7
treasury,1m,LGB_CASSI,2016-01-06,2015-12-24,13,20.6
treasury,1m,LGB_CASSI,2016-02-02,2016-01-05,28,22.0
treasury,1m,LGB_CASSI,2016-06-13,2016-05-24,20,21.0
